Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Keep your community safe while COVID-19 spreads globally,"Sutton, Halley","The spread of COVID-19 globally has caused a high rate of sickness, death, and uncertainty, leading many U.S. colleges and universities to move instruction online for the time being and possibly through the end of the academic year and maybe beyond. When the global pandemic hit the United States, institutions struggled to quickly make decisions about how to deal with international students on campus, as well as how and when to pull American students studying abroad out of programs and bring them back to campus, without potentially spreading the disease through a healthy student population ? and with how best to monitor and advise students in the wake of a global emergency.",2020,,Recruiting & Retaining Adult Learners,22,8,01-Jul,,10.1002/nsr.30595,19486,#95758,Sutton 2020,,,95758,22-04-20
Teacher uses quarantine time to max out credits,"Sutton, Halley","In the wake of the COVID-19 global pandemic changing the face of the world and causing, in the United States, shelter-in-place measures, Tara Lopez Donohoe has decided to put her time in self-isolation to good use: She's going back to (online) campus.",2020,,Recruiting & Retaining Adult Learners,22,8,08-Aug,,10.1002/nsr.30598,19454,#95759,Sutton 2020,,,95759,22-04-20
A mild type of childhood Covid-19 - A case report,"Yin, X.; Dong, L.; Zhang, Y.; Bian, W.; Li, H.","This case is about a 9-year-old child diagnosed with COVID-19, with a history of epidemiology; SARS-CoV-2 nucleic acids testing was positive, while chest CT examination was negative. The clinical classification was light. Nonetheless, isolation measures should still be taken to avoid infecting others.",2020,,Radiology of Infectious Diseases,,,,,10.1016/j.jrid.2020.03.004,20204,#95764,Yin 2020,,,95764,22-04-20
Can Nanotechnology and Materials Science Help the Fight against SARS-CoV-2?,"Sportelli, Maria Chiara; Izzi, Margherita; Kukushkina, Ekaterina A.; Hossain, Syed Imdadul; Picca, Rosaria Anna; Ditaranto, Nicoletta; Cioffi, Nicola","Since 2004, we have been developing nanomaterials with antimicrobial properties, the so-called nanoantimicrobials. When the coronavirus disease 2019 (COVID-19) emerged, we started investigating new and challenging routes to nanoantivirals. The two fields have some important points of contact. We would like to share with the readership our vision of the role a (nano)materials scientist can play in the fight against the COVID-19 pandemic. As researchers specifically working on surfaces and nanomaterials, in this letter we underline the importance of nanomaterial-based technological solutions in several aspects of the fight against the virus. While great resources are understandably being dedicated to treatment and diagnosis, more efforts could be dedicated to limit the virus spread. Increasing the efficacy of personal protection equipment, developing synergistic antiviral coatings, are only two of the cases discussed. This is not the first nor the last pandemic: our nanomaterials community may offer several technological solutions to challenge the ongoing and future global health emergencies. Readers&rsquo; feedback and suggestions are warmly encouraged.",2020,,"Nanomaterials 2020, Vol. 10, Page 802",10,4,802-802,,10.3390/NANO10040802,19251,#95880,Sportelli 2020,,,95880,22-04-20
COVID-19 bei hospitalisierten Kindern und Jugendlichen,"Streng, A.; Hartmann, K.; Armann, J.; Berner, R.; Liese, J. G.","Das klinische Wissen zu Verlauf, Komplikationen und Therapie von COVID-19 bei Kindern und Jugendlichen ist bisher begrenzt. Der vorliegende systematische Review fasst die aktuelle wissenschaftliche Evidenz zum klinischen Verlauf von COVID-19 bei hospitalisierten Kindern zusammen. Zusätzlich werden die ersten Daten aus Deutschland aus einem Kinderklinik-Survey der Deutschen Gesellschaft für Pädiatrische Infektiologie e. V. (DGPI) vorgestellt. Ausgewertet wurden insgesamt 12 Fallserien aus China mit 6 bis 2143 SARS-CoV-2-infizierten Kindern, die über eine PubMed-Literatursuche bis zum 31.03.2020 identifiziert wurden. Die Datenbank des deutschlandweiten COVID-19 Kinderklinik-Survey der DGPI wurde am 06.04.2020 abgefragt. In den Fallserien lag das mediane Alter zwischen 2 und 7 Jahren, mit einem Anteil von Säuglingen von 18 bis 45 %. Am häufigsten berichtete Symptome waren Fieber und Husten; bei 40–100 % lag eine radiologisch (zumeist CT) bestätigte Lungenbeteiligung vor. Schwere/kritische Verläufe – inklusive 2 Todesfälle – wurden bei bis zu 8 % der Kinder berichtet. Die Hospitalisierungsdauer lag bei 5 bis 20 Tagen. Der COVID-19-Survey der DGPI erfasste bis zum 06.04.2020 33 Kinder aus 21 Kliniken, mit überwiegenden Infektionen der oberen Atemwege. 45 % waren Säuglinge, 32 % hatten eine Vorerkrankung. Bislang benötigten 3 Kinder (9 %) eine intensivstationäre Behandlung. COVID-19 bei hospitalisierten Kindern und Jugendlichen verläuft überwiegend als unkomplizierte febrile Erkrankung der oberen oder der unteren Atemwege. Nur sehr selten kommt es bei Kindern zu schweren Komplikationen oder Todesfällen. Weitere Informationen zum Verlauf von COVID-19 bei Neugeborenen, Säuglingen und Patienten mit Vorerkrankungen sowie zu therapeutischen und präventiven Maßnahmen werden dringend benötigt.",2020,,Monatsschrift Kinderheilkunde,,,01-Dec,,10.1007/s00112-020-00919-7,19637,#95976,Streng 2020,,,95976,22-04-20
Possibility of transmission through dogs being a contributing factor to the extreme Covid-19 outbreak in North Italy,"Goumenou, M.; Spandidos, D. A.; Tsatsakis, A.",,2020,,Molecular Medicine Reports,21,6,2293-2295,,10.3892/mmr.2020.11037,19857,#95988,Goumenou 2020,,,95988,22-04-20
Saint Louis University School of Medicine and Vaccine Center Mobilize for COVID-19 Pandemic,"Wilmott, Robert W.",,2020,,Mo Med,,,,32308235,,20385,#95994,Wilmott 2020,,,95994,22-04-20
COVID-19 Teaches Hard Lessons,"Wang, Jin; Frey, Sharon",,2020,,Mo Med,,,,32308219,,20388,#95995,Wang 2020,,,95995,22-04-20
China's Coronavirus-Induced Paralysis Threatens U.S. Drug Supply Chain,"Miller, Henry I.; Cohrssen, John J.",,2020,,Mo Med,,,,32308220,,20387,#95996,Miller 2020,,,95996,22-04-20
Imported Infections in Rural Mid-West United States - A Report from a Tertiary Care Center,"Meyer, Amy; Regunath, Hariharan; Rojas-Moreno, Christian; Salzer, William; Christensen, Gordon","Background: There is lack of specific data on imported infections in the mid-west United States (U.S.). Methods: Retrospective data on demographic and geographic data of imported infections seen by the infectious diseases clinics and consultation service from 2001-2018 was collected. Results: Of the 64 infections, tuberculosis(TB) was most common [20(31.3%); pulmonary(11,55%), lymphadenopathy(8,40%), gastrointestinal(4,20%), disseminated(2,10%), and 1(5%) each of genitourinary and vertebral spine infection, 4 Human immune-deficiency virus infection and 1 echinococcosis)] followed by malaria(11,17.2%). Other infections: Cysticercosis [7,10.9%], giardiasis (4,6.3%), 3 each (4.7%) Human T-lymphotrophic Virus infection and schistosomiasis, 2 each (3.1%) leprosy, strongyloidiasis, and typhoid fever, one each (1.6%) of ascariasis, brucellosis, Chagas disease, Chikungunya virus, hepatitis A virus, echinococcosis, Japanese encephalitis virus, loiasis, paratyphoid fever, Q fever, and unspecified parasitosis. Geographic origins: Africa(26,40.6%), Asia(16,25%), Central America(11,17.2%), Europe(2,3.1%), Oceania(2,3.1%), South America(2,3.1%), and Unknown(5). More cases were seen after 2015. Conclusions: With increasing tourism, it is important to educate rural mid-west healthcare professionals on travel medicine. The current COVID-19 pandemic illustrates the importance of this type of education and data accumulation now and in the future.",2020,,Mo Med,,,,32308221,,20386,#95997,Meyer 2020,,,95997,22-04-20
"MSMA Recommends ""Shelter-In-Place"" to Missouri Governor to Curb COVID-19",,,2020,,Mo Med,,,,32308217,,20390,#95999,,,,95999,22-04-20
MSMA Urges Congress Independent Physician Financial Stability in Economic COVID-19 Relief Legislation,,,2020,,Mo Med,,,,32308218,,20389,#96000,,,,96000,22-04-20
Peritoneal Dialysis in the time of COVID-19,"Wilkie, Martin; Davies, Simon",,2020,,Peritoneal dialysis international : journal of the International Society for Peritoneal Dialysis,,,896860820921657-896860820921657,,10.1177/0896860820921657,19654,#96015,Wilkie 2020,,,96015,22-04-20
Epidemiology of COVID-19 Among Children in China,"Dong, Yuanyuan; Mo, Xi; Hu, Yabin; Qi, Xin; Jiang, Fan; Jiang, Zhongyi; Tong, Shilu","OBJECTIVE: To identify the epidemiological characteristics and transmission patterns of pediatric patients with the 2019 novel coronavirus disease (COVID-19) in China. METHODS: Nationwide case series of 2135 pediatric patients with COVID-19 reported to the Chinese Center for Disease Control and Prevention from January 16, 2020, to February 8, 2020, were included. The epidemic curves were constructed by key dates of disease onset and case diagnosis. Onset-to-diagnosis curves were constructed by fitting a log-normal distribution to data on both onset and diagnosis dates. RESULTS: There were 728 (34.1%) laboratory-confirmed cases and 1407 (65.9%) suspected cases. The median age of all patients was 7 years (interquartile range: 2-13 years), and 1208 case patients (56.6%) were boys. More than 90% of all patients had asymptomatic, mild, or moderate cases. The median time from illness onset to diagnoses was 2 days (range: 0-42 days). There was a rapid increase of disease at the early stage of the epidemic, and then there was a gradual and steady decrease. The disease rapidly spread from Hubei province to surrounding provinces over time. More children were infected in Hubei province than any other province. CONCLUSIONS: Children of all ages appeared susceptible to COVID-19, and there was no significant sex difference. Although clinical manifestations of children's COVID-19 cases were generally less severe than those of adult patients, young children, particularly infants, were vulnerable to infection. The distribution of children's COVID-19 cases varied with time and space, and most of the cases were concentrated in Hubei province and surrounding areas. Furthermore, this study provides strong evidence of human-to-human transmission.",2020,,Pediatrics,,,,32179660,10.1542/peds.2020-0702,25004,#96016,Dong 2020,,,96016,22-04-20
Why is Coronavirus Disease 2019 not as severe in children?-A look at type 2 alveolar cells,"Im, Daniel D.",,2020,,Pediatric pulmonology,,,,,10.1002/ppul.24786,19468,#96018,Im 2020,,,96018,22-04-20
Managing a tertiary-level NICU in the time of COVID-19: Lessons learned from a high-risk zone,"Cavicchiolo, Maria Elena; Lolli, Elisabetta; Trevisanuto, Daniele; Baraldi, Eugenio",,2020,,Pediatric pulmonology,,,,,10.1002/ppul.24788,19620,#96019,Cavicchiolo 2020,,,96019,22-04-20
Varicella-like exanthem associated with COVID-19 in an 8-year-old girl: A diagnostic clue?,"Genovese, Giovanni; Colonna, Cristiana; Marzano, Angelo Valerio",It has been reported that the novel coronavirus disease (COVID-19) may be associated with a papulovesicular exanthem predominantly involving the trunk. We hereby present a case of COVID-19-associated varicella-like exanthem in an 8-year-old girl with mild systemic symptoms.,2020,,Pediatric dermatology,,,,,10.1111/pde.14201,19484,#96020,Genovese 2020,,,96020,22-04-20
A Critical Appraisal of COVID-19 in Malaysia and Beyond,"Abdullah, Jafri Malin; Wan Ismail, Wan Faisham Nu'man; Mohamad, Irfan; Ab Razak, Asrenee; Harun, Azian; Musa, Kamarul Imran; Lee, Yeong Yeh","When the first report of COVID-19 appeared in December 2019 from Wuhan, China, the world unknowingly perceived this as another flu-like illness. Many were surprised at the extreme steps that China had subsequently taken to seal Wuhan from the rest of the world. However, by February 2020, the SARS-CoV-2 virus, which causes COVID-19, had spread so quickly across the globe that the World Health Organization officially declared COVID-19 a pandemic. COVID-19 is not the first pandemic the world has seen, so what makes it so unique in Malaysia, is discussed to avoid a future coronacoma.",2020,,Malays J Med Sci,,,,32308536,10.21315/mjms2020.27.2.1,20376,#96129,Abdullah 2020,,,96129,22-04-20
The impossibility of social distancing among the urban poor: the case of an Indian slum in the times of COVID-19,"Wasdani, Kishinchand Poornima; Prasad, Ajnesh",,2020,,Local Environment,,,01-May,,10.1080/13549839.2020.1754375,19477,#96133,Wasdani 2020,,,96133,22-04-20
Effect of changing case definitions for COVID-19 on the epidemic curve and transmission parameters in mainland China: a modelling study,"Tsang, Tim K.; Wu, Peng; Lin, Yun; Lau, Eric H. Y.; Leung, Gabriel M.; Cowling, Benjamin J.","BackgroundWhen a new infectious disease emerges, appropriate case definitions are important for clinical diagnosis and for public health surveillance. Tracking case numbers over time is important to establish the speed of spread and the effectiveness of interventions. We aimed to assess whether changes in case definitions affected inferences on the transmission dynamics of coronavirus disease 2019 (COVID-19) in China.",2020,,The Lancet Public Health,,,,,10.1016/S2468-2667(20)30089-X,19524,#96229,Tsang 2020,,,96229,22-04-20
"Comment on ""Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade""","Cure, Erkan; Cumhur Cure, Medine",,2020,,Nephron,,,01-Feb,,10.1159/000507786,19473,#96274,Cure 2020,,,96274,22-04-20
The need for urogenital tract monitoring in COVID-19,"Wang, Shangqian; Zhou, Xiang; Zhang, Tongtong; Wang, Zengjun",,2020,,Nature reviews. Urology,,,,,10.1038/s41585-020-0319-7,19648,#96282,Wang 2020,,,96282,22-04-20
The researchers taking a gamble with antibody tests for coronavirus,"Maxmen, Amy","Despite uncertainties, some scientists are betting that blood tests will help end lockdowns and get people back to work. An employee from Beaumont Laboratory has her blood drawn. Last week, laboratories across the United States launched initiatives to test hundreds of thousands of people for antibodies against the coronavirus that causes COVID-19. And they’re telling those people the results — despite uncertainty about what they mean. Researchers have been using antibody tests to try to reveal the true spread of the coronavirus in communities and cities. But these latest efforts are more controversial because they focus on an individual’s immune status. Unlike PCR-based tests, which identify genetic sequences belonging to the virus, these tests of the body’s immune response require more nuanced interpretation.",2020,,Nature,,,,,10.1038/d41586-020-01163-5,19677,#96350,Maxmen 2020,,,96350,22-04-20
Untapped potential: More US labs could be providing tests for coronavirus,"Maxmen, Amy","An online survey reveals bottlenecks and challenges and barriers faced by more than 1,700 biology labs. A survey of more than 4,000 researchers in the United States suggests that better coordination at an institutional and national level could make hundreds of thousands more tests for coronavirus available.",2020,,Nature,,,,,10.1038/d41586-020-01154-6,19675,#96351,Maxmen 2020,,,96351,22-04-20
How COVID-19 lockdowns could lead to a kinder research culture,"Derrick, Gemma",,2020,,Nature,,,,,10.1038/d41586-020-01144-8,19658,#96382,Derrick 2020,,,96382,22-04-20
Pick of the coronavirus papers: How Hong Kong stemmed viral spread without harsh restrictions,,,2020,,Nature,,,,32221507,10.1038/d41586-020-00502-w,24143,#96415,,,,96415,22-04-20
Suicide risk and prevention during the COVID-19 pandemic,"Gunnell, David; Appleby, Louis; Arensman, Ella; Hawton, Keith; John, Ann; Kapur, Nav; Khan, Murad; O'Connor, Rory C.; Pirkis, Jane; Caine, Eric D.; Chan, Lai Fong; Chang, Shu-Sen; Chen, Ying-Yeh; Christensen, Helen; Dandona, Rakhi; Eddleston, Michael; Erlangsen, Annette; Harkavy-Friedman, Jill; Kirtley, Olivia J.; Knipe, Duleeka; Konradsen, Flemming; Liu, Shiwei; McManus, Sally; Mehlum, Lars; Miller, Matthew; Moran, Paul; Morrissey, Jacqui; Moutier, Christine; Niederkrotenthaler, Thomas; Nordentoft, Merete; O'Neill, Siobhan; Page, Andrew; Phillips, Michael R.; Platt, Steve; Pompili, Maurizio; Qin, Ping; Rezaeian, Mohsen; Silverman, Morton; Sinyor, Mark; Stack, Steven; Townsend, Ellen; Turecki, Gustavo; Vijayakumar, Lakshmi; Yip, Paul S. F.",,2020,,The Lancet Psychiatry,,,,,10.1016/S2215-0366(20)30171-1,19502,#96473,Gunnell 2020,,,96473,22-04-20
"Comparative tropism, replication kinetics, and cell damage profiling of SARS-CoV-2 and SARS-CoV with implications for clinical manifestations, transmissibility, and laboratory studies of COVID-19: an observational study","Chu, Hin; Chan, Jasper Fuk-Woo; Yuen, Terrence Tsz-Tai; Shuai, Huiping; Yuan, Shuofeng; Wang, Yixin; Hu, Bingjie; Yip, Cyril Chik-Yan; Tsang, Jessica Oi-Ling; Huang, Xiner; Chai, Yue; Yang, Dong; Hou, Yuxin; Chik, Kenn Ka-Heng; Zhang, Xi; Fung, Agnes Yim-Fong; Tsoi, Hoi-Wah; Cai, Jian-Piao; Chan, Wan-Mui; Ip, Jonathan Daniel; Chu, Allen Wing-Ho; Zhou, Jie; Lung, David Christopher; Kok, Kin-Hang; To, Kelvin Kai-Wang; Tsang, Owen Tak-Yin; Chan, Kwok-Hung; Yuen, Kwok-Yung","Summary Background Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was reported from China in January, 2020. SARS-CoV-2 is efficiently transmitted from person to person and, in 2 months, has caused more than 82 000 laboratory-confirmed cases of coronavirus disease 2019 (COVID-19) and 2800 deaths in 46 countries. The total number of cases and deaths has surpassed that of the 2003 severe acute respiratory syndrome coronavirus (SARS-CoV). Although both COVID-19 and severe acute respiratory syndrome (SARS) manifest as pneumonia, COVID-19 is associated with apparently more efficient transmission, fewer cases of diarrhoea, increased mental confusion, and a lower crude fatality rate. However, the underlying virus–host interactive characteristics conferring these observations on transmissibility and clinical manifestations of COVID-19 remain unknown. Methods We systematically investigated the cellular susceptibility, species tropism, replication kinetics, and cell damage of SARS-CoV-2 and compared findings with those for SARS-CoV. We compared SARS-CoV-2 and SARS-CoV replication in different cell lines with one-way ANOVA. For the area under the curve comparison between SARS-CoV-2 and SARS-CoV replication in Calu3 (pulmonary) and Caco2 (intestinal) cells, we used Student's t test. We analysed cell damage induced by SARS-CoV-2 and SARS-CoV with one-way ANOVA. Findings SARS-CoV-2 infected and replicated to comparable levels in human Caco2 cells and Calu3 cells over a period of 120 h (p=0·52). By contrast, SARS-CoV infected and replicated more efficiently in Caco2 cells than in Calu3 cells under the same multiplicity of infection (p=0·0098). SARS-CoV-2, but not SARS-CoV, replicated modestly in U251 (neuronal) cells (p=0·036). For animal species cell tropism, both SARS-CoV and SARS-CoV-2 replicated in non-human primate, cat, rabbit, and pig cells. SARS-CoV, but not SARS-CoV-2, infected and replicated in Rhinolophus sinicus bat kidney cells. SARS-CoV-2 consistently induced significantly delayed and milder levels of cell damage than did SARS-CoV in non-human primate cells (VeroE6, p=0·016; FRhK4, p=0·0004). Interpretation As far as we know, our study presents the first quantitative data for tropism, replication kinetics, and cell damage of SARS-CoV-2. These data provide novel insights into the lower incidence of diarrhoea, decreased disease severity, and reduced mortality in patients with COVID-19, with respect to the pathogenesis and high transmissibility of SARS-CoV-2 compared with SARS-CoV. Funding May Tam Mak Mei Yin, The Shaw Foundation Hong Kong, Richard Yu and Carol Yu, Michael Seak-Kan Tong, Respiratory Viral Research Foundation, Hui Ming, Hui Hoy and Chow Sin Lan Charity Fund, Chan Yin Chuen Memorial Charitable Foundation, Marina Man-Wai Lee, The Hong Kong Hainan Commercial Association South China Microbiology Research Fund, The Jessie & George Ho Charitable Foundation, Perfect Shape Medical, The Consultancy Service for Enhancing Laboratory Surveillance of Emerging Infectious Diseases and Research Capability on Antimicrobial Resistance for the Department of Health of the Hong Kong Special Administrative Region Government, The Theme-Based Research Scheme of the Research Grants Council, Sanming Project of Medicine in Shenzhen, and The High Level-Hospital Program, Health Commission of Guangdong Province, China.",2020,,The Lancet Microbe,,,,,https://doi.org/10.1016/S2666-5247(20)30004-5,19663,#96499,Chu 2020,,,96499,22-04-20
SARS-CoV-2 cellular tropism,"Cagno, Valeria",,2020,,The Lancet Microbe,,,,,10.1016/S2666-5247(20)30008-2,19567,#96500,Cagno 2020,,,96500,22-04-20
Connecting clusters of COVID-19: an epidemiological and serological investigation,"Yong, Sarah Ee Fang; Anderson, Danielle Elizabeth; Wei, Wycliffe E.; Pang, Junxiong; Chia, Wan Ni; Tan, Chee Wah; Teoh, Yee Leong; Rajendram, Priyanka; Toh, Matthias Paul Han Sim; Poh, Cuiqin; Koh, Valerie T. J.; Lum, Joshua; Suhaimi, Nur-Afidah Md; Chia, Po Ying; Chen, Mark I. Cheng; Vasoo, Shawn; Ong, Benjamin; Leo, Yee Sin; Wang, Linfa; Lee, Vernon J. M.","BackgroundElucidation of the chain of disease transmission and identification of the source of coronavirus disease 2019 (COVID-19) infections are crucial for effective disease containment. We describe an epidemiological investigation that, with use of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) serological assays, established links between three clusters of COVID-19.",2020,,The Lancet Infectious Diseases,,,,,10.1016/S1473-3099(20)30273-5,19506,#96501,Yong 2020,,,96501,22-04-20
The important role of serology for COVID-19 control,"Winter, Amy K.; Hegde, Sonia T.",,2020,,The Lancet Infectious Diseases,,,,,https://doi.org/10.1016/S1473-3099(20)30322-4,19384,#96502,Winter 2020,,,96502,22-04-20
Mediastinal lymphadenopathy in patients with severe COVID-19,"Valette, Xavier; du Cheyron, Damien; Goursaud, Suzanne",,2020,,The Lancet Infectious Diseases,,,,,https://doi.org/10.1016/S1473-3099(20)30310-8,19490,#96503,Valette 2020,,,96503,22-04-20
Targeting COVID-19 interventions towards migrants in humanitarian settings,"Hargreaves, Sally; Zenner, Dominik; Wickramage, Kolitha; Deal, Anna; Hayward, Sally E.",,2020,,The Lancet Infectious Diseases,,,,,10.1016/S1473-3099(20)30292-9,19507,#96506,Hargreaves 2020,,,96506,22-04-20
COVID-19 Q&A: Animal care continues,"Neff, Ellen P.",,2020,,Lab animal,,,,,10.1038/s41684-020-0548-7,19487,#96538,Neff 2020,,,96538,22-04-20
COVID-19 Q&A: Keeping a cancer core going,"Neff, Ellen P.",,2020,,Lab animal,,,,,10.1038/s41684-020-0549-6,19461,#96539,Neff 2020,,,96539,22-04-20
Consequences of COVID-19 on international medical graduates and students applying to residencies in the United States,"Park, Jewel; Rhim, Hye Chang",,2020,,Korean journal of medical education,,,,,10.3946/kjme.2020.156,19404,#96548,Park 2020,,,96548,22-04-20
A Frail Health Care System for an Old Population: Lesson form the COVID-19 Outbreak in Italy,"Volpato, Stefano; Landi, Francesco; Incalzi, Raffaele Antonelli",,,,The Journals of Gerontology: Series A,,,,,10.1093/GERONA/GLAA087,19312,#96582,,,,96582,22-04-20
After the COVID-19 Pandemic: The Next Wave of Health Challenges for Older Adults,"Schrack, Jennifer A.; Wanigatunga, Amal A.; Juraschek, Stephen P.",,2020,,The Journals of Gerontology: Series A,,,,,10.1093/gerona/glaa102,19317,#96583,Schrack 2020,,,96583,22-04-20
Recommendations for Tiered Stratification of Urological Surgery Urgency in the COVID-19 Era,"Goldman, Howard B.; Haber, George P.",,2020,,The Journal of urology,,,101097JU0000000000001067-101097JU0000000000001067,,10.1097/JU.0000000000001067,19410,#96584,Goldman 2020,,,96584,22-04-20
A CALL FOR RAPID SUBMISSION OF DATA FOR AGGREGATE REVIEW: Can daily radiotherapy imaging be used as a potential screen for COVID-19?,"Warren, Graham; Adjei, Alex A.",,2020,,Journal of Thoracic Oncology,,,,,https://doi.org/10.1016/j.jtho.2020.04.006,19649,#96593,Warren 2020,,,96593,22-04-20
Deep Learning Localization of Pneumonia: 2019 Coronavirus (COVID-19) Outbreak,"Hurt, Brian; Kligerman, Seth; Hsiao, Albert",,2020,,J Thorac Imaging,,,,32205822,10.1097/RTI.0000000000000512,24538,#96596,Hurt 2020,,,96596,22-04-20
A Diabetic Patient With 2019-nCoV (COVID-19) Infection Who Recovered and Was Discharged From Hospital,"Han, Xiaoyu; Fan, Yanqing; Wan, Yung-Liang; Shi, Heshui","Novel coronavirus has become a global health hazard and its high infectivity is alarming. The imaging findings of the 2019-nCoV infection in our young diabetic patient featured ground-glass opacities and consolidations in both lungs. The lung lesions may involute rapidly during the course. The patient showed improvement both clinically and on computed tomography imaging at discharged after 2 weeks'treatment. Computed tomography scans of patients helped monitor the changes continuously, which could timely provide the information of the evolution of the disease or therapeutic effect to clinicians.",2020,,J Thorac Imaging,,,,32168162,10.1097/RTI.0000000000000506,25150,#96598,Han 2020,,,96598,22-04-20
Protecting older people from COVID-19: should the United Kingdom start at age 60?,"Osama, Tasnime; Pankhania, Bharat; Majeed, Azeem",,2020,,Journal of the Royal Society of Medicine,,,0141076820921107-0141076820921107,,10.1177/0141076820921107,19321,#96601,Osama 2020,,,96601,22-04-20
Preparing for COVID-19's aftermath: simple steps to address social determinants of health,"Jani, Anant",,2020,,Journal of the Royal Society of Medicine,,,141076820921655-141076820921655,,10.1177/0141076820921655,19437,#96602,Jani 2020,,,96602,22-04-20
What’s New With the Old Coronaviruses?,"Ogimi, Chikara; Kim, Yae Jean; Martin, Emily T.; Huh, Hee Jae; Chiu, Cheng-Hsun; Englund, Janet A.","<p>Coronaviruses contribute to the burden of respiratory diseases in children, frequently manifesting in upper respiratory symptoms considered to be part of the “common cold.” Recent epidemics of novel coronaviruses recognized in the 21st century have highlighted issues of zoonotic origins of transmissible respiratory viruses and potential transmission, disease, and mortality related to these viruses. In this review, we discuss what is known about the virology, epidemiology, and disease associated with pediatric infection with the common community-acquired human coronaviruses, including species 229E, OC43, NL63, and HKU1, and the coronaviruses responsible for past world-wide epidemics due to severe acute respiratory syndrome and Middle East respiratory syndrome coronavirus.</p>",2020,,Journal of the Pediatric Infectious Diseases Society,,,,,10.1093/jpids/piaa037,19436,#96603,Ogimi 2020,,,96603,22-04-20
"Comment on ""Cutaneous manifestations in COVID-19: a first perspective "" by Recalcati S","Hedou, M.; Carsuzaa, F.; Chary, E.; Hainaut, E.; Cazenave-Roblot, F.; Masson Regnault, M.","Since the coronavirus disease 2019 (COVID 19) outbreak was first reported in the Chinese city of Wuhan on December 31, 2019, it has stricken more than 1,000,000 persons worldwide, of whom over 50,000 have died (1). Having been infected by severe acute respiratory syndrome coronavirus 2 (SARS-COV-2), patients with COVID-19 mainly present with fever and respiratory symptoms (2). Isolated sudden onset anosmia has also frequently been reported (3). Less frequently, rhinorrhea, diarrhoea and dysgeusia may be associated. While only a few reports have evoked cutaneous manifestations (4), we read with interest an initial study on the topic entitled ""Cutaneous manifestations in COVID-19: a first perspective "" by Recalcati S. (5).",2020,,Journal of the European Academy of Dermatology and Venereology : JEADV,,,,,10.1111/jdv.16519,19294,#96607,Hedou 2020,,,96607,22-04-20
COVID-19 and Calcineurin Inhibitors: Should They Get Left Out in the Storm?,"Willicombe, Michelle; Thomas, David; McAdoo, Stephen",,2020,,Journal of the American Society of Nephrology : JASN,,,,,10.1681/ASN.2020030348,19550,#96608,Willicombe 2020,,,96608,22-04-20
Addressing the Question of Dermatologic Manifestations of SARS-CoV-2 Infection in the Lower Extremities: A Closer Look at the Available Data and its Implications,"Basatneh, Rami; Vlahovic, Tracey C.",,2020,,J Am Podiatr Med Assoc,,,,32310671,10.7547/20-074,20336,#96613,Basatneh 2020,,,96613,22-04-20
Participant and Caregiver Perspectives on Clinical Research During Covid-19 Pandemic,"Padala, Prasad R.; Jendro, Ashlyn M.; Gauss, C. Heath; Orr, Lillian C.; Dean, Kim T.; Wilson, Kerrie B.; Parkes, Christopher M.; Padala, Kalpana P.","BACKGROUND/OBJECTIVES: The COVID-19 pandemic has massively disrupted essential clinical research. Many regulatory organizations have rightfully advocated to temporarily halt enrollment and curtail all face-to-face interactions. Views and opinions of patients and their caregivers are seldom considered while making such decisions. The objective was to study older participants' and their caregivers' perspectives to participate in ongoing clinical research during the COVID-19 pandemic. DESIGN: Cross-sectional SETTING: VISN-16/Geriatric Research Education and Clinical Center (GRECC), Department of Veterans Affairs. PARTICIPANTS: Older participants and their caregivers (N=51) enrolled in ongoing clinical research studies. MEASUREMENTS: Questions about perceptions of safety to attend research visit, the level of panic among the general public, and medical center's preparedness in handling the pandemic. Other questions identified the source of pandemic information and the preference of a phone or in-person visit. RESULTS: Mean age was 69.3 (±9.4) years, 53% were male, 39% were caregivers, and 65% were Caucasian. Majority (78%) of the participants felt safe/very safe attending the scheduled research appointment; 63% felt that the extra screening made them feel safe/very safe; 82% felt that the medical center was prepared/very prepared for the pandemic. Participants split evenly on their preference for phone vs. in-person visits. Family members and television news media were the commonly used sources of pandemic information irrespective of their education. Perceptions were influenced by gender and source of information, not by age or education. Females perceived higher level of panic compared to males (p=0.02). Those relying on news media felt safer compared to those that relied on family members (p=0.008). CONCLUSION: Even though informants felt that the medical center was prepared to handle the pandemic, only half the participants preferred the in-person visit. Pandemic information was obtained from family members or the television news media. Knowing patients' perspectives may help researchers be better prepared for future pandemics. This article is protected by copyright. All rights reserved.",2020,,Journal of the American Geriatrics Society,,,,,10.1111/jgs.16500,19311,#96623,Padala 2020,,,96623,22-04-20
"COVID-19, Postacute Care Preparedness, and Nursing Homes","Gurwitz, Jerry",,2020,,Journal of the American Geriatrics Society,,,,,10.1111/jgs.16499,19232,#96624,Gurwitz 2020,,,96624,22-04-20
